chrom	start	end	direction	in_ATAC	has_activity	in_STARR_seq	n_ATAC	n_STARR_seq
chr1	14502	14877	Activating	False	False	True	0	1
chr1	28891	29607	Activating	False	False	True	0	1
chr1	32409	33068	Activating	False	False	True	0	1
chr1	34218	35127	Activating	False	False	True	0	1
chr1	38359	39297	Activating	False	False	True	0	1
chr1	78951	79653	Repressing	True	True	False	1	0
chr1	115488	115959	Activating	False	False	True	0	1
chr1	132045	132652	Activating	False	False	True	0	1
chr1	135194	135762	Activating	False	False	True	0	1
chr1	136007	139033	Activating	False	False	True	0	1
chr1	179122	179597	Activating	False	False	True	0	1
chr1	199283	200494	Activating	False	False	True	0	1
chr1	265199	265917	Activating	False	False	True	0	1
chr1	266477	267022	Activating	False	False	True	0	1
chr1	271029	271396	Activating	False	False	True	0	1
chr1	369228	370052	Activating	False	False	True	0	1
chr1	486985	487427	Activating	False	False	True	0	1
chr1	493098	494114	Activating	False	False	True	0	1
chr1	597746	598875	Activating	False	False	True	0	1
chr1	629127	629472	Activating	False	False	True	0	1
chr1	629660	630001	Activating	False	False	True	0	1
chr1	630793	631294	Activating	False	False	True	0	1
chr1	632426	632817	Repressing	False	False	True	0	1
chr1	633786	634210	Activating	False	False	True	0	1
chr1	666373	666744	Activating	False	False	True	0	1
chr1	668365	669795	Activating	False	False	True	0	1
chr1	693671	694038	Activating	False	False	True	0	1
chr1	710555	711064	Activating	False	False	True	0	1
chr1	712814	713249	Activating	False	False	True	0	1
chr1	727377	727936	Activating	False	False	True	0	1
chr1	728273	729357	Activating	False	False	True	0	1
chr1	778328	779268	Activating	True	True	True	1	1
chr1	826581	828166	Activating	True	True	True	1	1
chr1	851338	852065	Activating	False	False	True	0	1
chr1	876444	876702	Repressing	True	True	False	1	0
chr1	923647	924995	Repressing	True	True	False	1	0
chr1	930567	931232	Repressing	True	True	False	1	0
chr1	932567	932883	Repressing	True	True	False	1	0
chr1	938151	938404	Repressing	True	True	False	1	0
chr1	939153	939395	Repressing	True	True	False	1	0
chr1	940053	941085	Repressing	True	True	False	1	0
chr1	941417	942151	Repressing	True	True	False	1	0
chr1	951510	951689	Repressing	True	True	False	1	0
chr1	958783	961418	Activating	True	True	True	1	1
chr1	975923	976744	Repressing	True	True	False	1	0
chr1	980611	981028	Repressing	True	True	False	1	0
