chrom	start	end	direction	in_ATAC	has_activity	in_STARR_seq	n_ATAC	n_STARR_seq
chr1	28891	29607	Repressing	False	False	True	0	2
chr1	34218	35127	Activating	False	False	True	0	2
chr1	132045	132652	Repressing	False	False	True	0	2
chr1	136007	139033	Activating	False	False	True	0	2
chr1	199283	200494	Activating	False	False	True	0	2
chr1	266477	267022	Activating	False	False	True	0	2
chr1	369228	370052	Activating	False	False	True	0	2
chr1	493098	494114	Activating	False	False	True	0	2
chr1	629127	629472	Repressing	False	False	True	0	2
chr1	630793	631294	Activating	False	False	True	0	2
chr1	633786	634210	Repressing	False	False	True	0	2
chr1	668365	669795	Repressing	False	False	True	0	2
chr1	710555	711064	Activating	False	False	True	0	2
chr1	727377	727936	Activating	False	False	True	0	2
chr1	778328	779124	Activating	True	True	True	2	1
chr1	826581	827910	Activating	True	True	True	2	1
chr1	851338	852065	Activating	False	False	True	0	2
chr1	923647	924995	Repressing	True	True	False	2	0
chr1	930567	931232	Repressing	True	True	False	2	0
chr1	938151	938404	Repressing	True	True	False	2	0
chr1	940053	941085	Repressing	True	True	False	2	0
chr1	958783	959854	Activating	True	True	True	2	1
chr1	975923	976744	Repressing	True	True	False	2	0
chr1	980611	981028	Repressing	True	True	False	2	0
chr1	1000310	1001083	Activating	False	False	True	0	2
chr1	1012903	1013564	Activating	True	True	True	2	1
chr1	1019185	1020996	Repressing	True	True	False	2	0
chr1	1021551	1022514	Activating	True	True	True	2	1
chr1	1039987	1041508	Repressing	True	True	False	2	0
chr1	1064035	1064766	Activating	False	False	True	0	2
chr1	1079360	1080707	Repressing	True	True	False	2	0
chr1	1107044	1107869	Activating	False	False	True	0	2
chr1	1109474	1110373	Activating	True	True	False	2	0
chr1	1144069	1145663	Activating	True	True	True	1	2
chr1	1157123	1157278	Repressing	True	True	False	2	0
chr1	1167444	1168193	Repressing	True	True	False	2	0
chr1	1169470	1170304	Repressing	True	True	False	2	0
chr1	1179831	1180762	Repressing	True	True	False	2	0
chr1	1200977	1201764	Activating	False	False	True	0	2
chr1	1205054	1205424	Repressing	True	True	False	2	0
chr1	1208017	1208538	Activating	True	True	False	2	0
chr1	1213594	1214226	Repressing	True	True	False	2	0
chr1	1231632	1232547	Activating	False	False	True	0	2
chr1	1243872	1244706	Repressing	True	True	False	2	0
chr1	1273520	1274300	Activating	False	False	True	0	2
chr1	1284900	1285372	Repressing	True	True	False	2	0
chr1	1291090	1292157	Repressing	True	True	False	2	0
chr1	1299129	1299383	Repressing	True	True	False	2	0
chr1	1308087	1308729	Activating	False	False	True	0	2
chr1	1324204	1324988	Activating	True	True	True	2	1
chr1	1337456	1338204	Repressing	True	True	False	2	0
chr1	1344829	1345438	Activating	False	False	True	0	2
chr1	1374673	1375832	Activating	True	True	True	2	1
chr1	1383600	1385646	Repressing	True	True	False	2	0
chr1	1390689	1391139	Activating	True	True	False	2	0
chr1	1398850	1399745	Activating	True	True	True	2	1
chr1	1406372	1407814	Activating	True	True	True	2	1
chr1	1427500	1427845	Repressing	True	True	False	2	0
chr1	1455232	1456396	Repressing	True	True	False	2	0
chr1	1471295	1471985	Activating	False	False	True	0	2
chr1	1479813	1480196	Repressing	True	True	False	2	0
chr1	1495240	1497628	Repressing	True	True	False	2	0
chr1	1511537	1512323	Activating	False	False	True	0	2
chr1	1533296	1537125	Repressing	True	True	False	2	0
chr1	1574354	1575391	Activating	False	False	True	0	2
chr1	1599607	1600449	Repressing	True	True	False	2	0
chr1	1614268	1614972	Activating	True	True	False	2	0
chr1	1615092	1616375	Activating	True	True	False	2	0
chr1	1625114	1625411	Repressing	True	True	False	2	0
chr1	1633176	1633815	Activating	True	True	True	2	1
chr1	1647414	1648456	Activating	True	True	True	2	1
chr1	1658668	1659608	Activating	False	False	True	0	2
chr1	1692506	1693486	Repressing	False	False	True	0	2
chr1	1700676	1700901	Activating	True	True	False	2	0
chr1	1714743	1715739	Activating	True	True	True	2	1
chr1	1723894	1724852	Activating	False	False	True	0	2
chr1	1745769	1746681	Activating	False	False	True	0	2
chr1	1889746	1892106	Activating	False	False	True	0	2
chr1	1899245	1899643	Repressing	True	True	False	2	0
chr1	1906908	1907727	Activating	False	False	True	0	2
chr1	1954866	1955388	Repressing	False	False	True	0	2
chr1	1985268	1985615	Repressing	True	True	False	2	0
chr1	1996037	1996659	Activating	False	False	True	0	2
chr1	2001622	2002187	Activating	True	True	True	1	2
chr1	2009019	2009720	Repressing	True	True	False	2	0
chr1	2019628	2019861	Repressing	True	True	False	2	0
chr1	2073041	2073882	Repressing	True	True	False	2	0
chr1	2088303	2088796	Activating	False	False	True	0	2
chr1	2160153	2161158	Repressing	True	True	False	2	0
chr1	2180122	2181064	Activating	True	True	False	2	0
chr1	2212356	2213505	Activating	True	True	False	2	0
chr1	2229165	2229867	Repressing	True	True	False	2	0
chr1	2230394	2230572	Activating	True	True	False	2	0
chr1	2255337	2256667	Activating	True	True	False	2	0
chr1	2289661	2291345	Activating	True	True	True	2	1
chr1	2311180	2312776	Repressing	True	True	False	2	0
chr1	2327504	2328924	Repressing	True	True	False	2	0
chr1	2352864	2353195	Repressing	True	True	False	2	0
chr1	2368131	2368776	Repressing	True	True	False	2	0
chr1	2381248	2382418	Repressing	True	True	False	2	0
chr1	2391274	2392080	Activating	False	False	True	0	2
chr1	2406491	2406974	Repressing	True	True	False	2	0
chr1	2412124	2413110	Activating	False	False	True	0	2
chr1	2430112	2430505	Repressing	True	True	False	2	0
chr1	2459753	2460189	Repressing	True	True	False	2	0
chr1	2467923	2468457	Repressing	True	True	False	2	0
chr1	2474443	2475364	Repressing	True	True	False	2	0
chr1	2482701	2483718	Repressing	True	True	False	2	0
chr1	2505589	2505802	Repressing	True	True	False	2	0
chr1	2548569	2549034	Activating	True	True	True	1	2
chr1	2566300	2566511	Repressing	True	True	False	2	0
chr1	2595426	2596672	Repressing	True	True	False	2	0
chr1	2604732	2605177	Repressing	True	True	False	2	0
chr1	2624647	2625384	Activating	True	True	True	2	1
chr1	2786195	2787083	Repressing	True	True	False	2	0
chr1	2800631	2800894	Repressing	True	True	False	2	0
chr1	2813619	2814203	Activating	False	False	True	0	2
chr1	2979130	2980049	Repressing	True	True	False	2	0
chr1	3017450	3017693	Activating	True	True	False	2	0
