chrom	start	end	REST	ENCODE_CTCF	GRCh38_CTCF	K562_CTCF
chr1	28891	29607	False	False	False	False
chr1	78951	79653	False	False	False	False
chr1	132045	132652	False	False	False	False
chr1	135194	135762	False	False	False	False
chr1	265199	265917	False	False	False	False
chr1	629127	629472	False	False	False	False
chr1	629660	630001	False	False	False	False
chr1	632426	632817	False	False	False	False
chr1	633786	634210	False	False	False	False
chr1	666373	666744	False	False	False	False
chr1	668365	669795	False	False	False	False
chr1	693671	694038	False	False	False	False
chr1	876444	876702	False	False	False	False
chr1	923647	924995	False	False	True	True
chr1	930567	931232	False	False	False	False
chr1	932567	932883	False	False	False	False
chr1	938151	938404	True	True	True	True
chr1	939153	939395	False	True	True	True
chr1	940053	941085	False	True	True	True
chr1	941417	942151	False	False	True	True
chr1	951510	951689	False	True	True	False
chr1	975923	976744	True	True	True	True
chr1	980611	981028	False	False	True	False
chr1	1001464	1002126	True	True	True	True
chr1	1019185	1020996	True	True	True	True
chr1	1039987	1041508	True	True	True	True
chr1	1079360	1080707	True	False	True	False
chr1	1091031	1092748	False	False	False	False
chr1	1121934	1122563	True	True	True	True
chr1	1156387	1156845	False	False	False	False
chr1	1157123	1157278	False	False	False	False
chr1	1167444	1168193	False	False	True	False
chr1	1168961	1169130	False	False	False	False
chr1	1169470	1170304	False	False	False	False
chr1	1175507	1175718	False	False	False	False
chr1	1179831	1180762	False	False	False	False
chr1	1205054	1205424	False	False	True	False
chr1	1208952	1209200	False	False	False	False
chr1	1213594	1214226	False	False	False	False
chr1	1215696	1216643	False	False	False	False
chr1	1243872	1244706	False	False	True	True
chr1	1281354	1281969	False	False	False	False
chr1	1284900	1285372	False	False	False	False
chr1	1285667	1285955	False	False	False	False
chr1	1291090	1292157	True	True	True	True
chr1	1299129	1299383	True	False	False	False
chr1	1299975	1300513	False	True	True	True
chr1	1330628	1331736	False	False	True	False
chr1	1337456	1338204	False	False	False	False
chr1	1351739	1352020	False	False	False	False
chr1	1371931	1372363	True	True	True	True
chr1	1383600	1385646	False	False	False	False
chr1	1425551	1426233	False	False	False	False
chr1	1426920	1427428	False	False	False	False
chr1	1427500	1427845	False	False	False	False
chr1	1435330	1436004	True	False	True	True
chr1	1454064	1454648	False	False	False	False
chr1	1455232	1456396	False	False	False	False
chr1	1479212	1479720	False	False	False	False
chr1	1479813	1480196	False	False	False	False
chr1	1484664	1485322	False	False	False	False
chr1	1495240	1497628	False	False	False	False
chr1	1533296	1537125	False	False	True	False
chr1	1543348	1544123	False	False	True	False
chr1	1599607	1600449	False	False	True	True
chr1	1625114	1625411	False	False	True	True
chr1	1634485	1635438	False	False	False	False
chr1	1692506	1693486	True	False	True	True
chr1	1899245	1899643	False	True	True	True
chr1	1954866	1955388	False	True	True	True
chr1	1985268	1985615	False	False	False	False
chr1	1989067	1989803	True	False	True	False
chr1	2009019	2009720	False	False	True	False
chr1	2019201	2019498	False	False	False	False
chr1	2019628	2019861	True	False	True	False
chr1	2046342	2046796	True	True	True	True
chr1	2073041	2073882	False	False	False	False
chr1	2160153	2161158	False	False	False	False
chr1	2207218	2207647	False	False	True	False
chr1	2229165	2229867	False	False	True	True
chr1	2311180	2312776	False	True	True	True
chr1	2327504	2328924	False	False	False	False
chr1	2329845	2330437	False	False	False	False
chr1	2345562	2345978	False	False	False	False
chr1	2352864	2353195	False	False	True	False
chr1	2368131	2368776	False	False	False	False
chr1	2373553	2374262	False	False	False	False
chr1	2381248	2382418	True	True	True	True
chr1	2382482	2382894	False	True	True	True
chr1	2406491	2406974	False	False	True	False
chr1	2430112	2430505	True	True	True	True
chr1	2459753	2460189	True	True	True	False
chr1	2466984	2467830	True	False	True	True
chr1	2467923	2468457	True	False	False	False
chr1	2473502	2474239	False	False	True	False
chr1	2474443	2475364	False	False	True	False
chr1	2482701	2483718	True	False	True	True
chr1	2504564	2505403	False	False	False	False
chr1	2505589	2505802	False	False	True	False
chr1	2505940	2508445	False	False	True	False
chr1	2554946	2555335	True	True	True	True
chr1	2561821	2562412	False	True	True	True
chr1	2566300	2566511	False	False	True	False
chr1	2577593	2578679	False	True	True	False
chr1	2595426	2596672	False	False	False	False
chr1	2604732	2605177	False	False	False	False
chr1	2610495	2611739	False	False	True	True
chr1	2786195	2787083	True	True	True	True
chr1	2787165	2787877	False	True	False	False
chr1	2800631	2800894	False	False	False	False
